方向,公車到達時間,車站序號,車站名稱,車站編號,經緯度座標 latitude,longitude
去程,末班已過,1,華江站,1037600320,25.032283,121.4889513
去程,末班已過,2,人壽一村,1085800020,25.031523,121.4902758
去程,末班已過,3,大理高中,1088300000,25.031919,121.491328
去程,末班已過,4,華江派出所,1088300100,25.034114,121.4933405
去程,末班已過,5,中國時報,1085500120,25.035221,121.496276
去程,末班已過,6,捷運龍山寺站,1085500320,25.035143,121.500164
去程,末班已過,7,昆明街口,1085100020,25.0351,121.5024902
去程,末班已過,8,和平中華路口,1006800120,25.032422,121.5062725
去程,末班已過,9,植物園,1007000220,25.030056,121.509834
去程,末班已過,10,建國中學,1006600420,25.029178,121.513095
去程,末班已過,11,自來水西分處(寧波),1007500020,25.029828,121.5157
去程,末班已過,12,聯合醫院婦幼院區一,1007500340,25.029987,121.5180375
去程,末班已過,13,南昌家具街,1008400140,25.027364,121.520315
去程,末班已過,14,羅斯福金門街口,1008400340,25.024288,121.5243501
去程,末班已過,15,羅斯福浦城街口,1064600340,25.022418,121.5260858
去程,末班已過,16,捷運台電大樓站,1008900420,25.020027,121.528697
去程,末班已過,17,台電大樓,1067300240,25.017546,121.531379
去程,末班已過,18,捷運公館站,1009000140,25.014321,121.534722
去程,末班已過,19,公館,1067300020,25.012096,121.5385308
去程,末班已過,20,臺灣科技大學,1060700020,25.013453,121.5401488
去程,末班已過,21,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
去程,末班已過,22,基隆長興街口,1067200320,25.017425,121.5448494
去程,末班已過,23,和平高中,1105200100,25.01963,121.54746
去程,末班已過,24,捷運六張犁站(基隆路),1067500200,25.023636,121.5519069
去程,末班已過,25,喬治商職,1105400100,25.02628,121.5549231
去程,末班已過,26,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017
去程,末班已過,27,吳興街口,1105200000,25.031596,121.5588464
去程,末班已過,28,世貿中心(莊敬),1104900140,25.031446,121.56127
去程,末班已過,29,景新里,1104900440,25.02923,121.5624103
去程,末班已過,30,臺北醫學大學,1105000340,25.028273,121.5632643
去程,末班已過,31,信義國中(莊敬),1105000240,25.027402,121.565724
去程,末班已過,32,吳興國小(莊敬),1105000020,25.026725,121.568122
去程,末班已過,33,松仁路,1104600240,25.024432,121.569585
返程,末班已過,1,松仁路,1104600200,25.02453,121.5695997
返程,末班已過,2,吳興國小(松仁),1104600000,25.026234,121.568628
返程,末班已過,3,信義國中(莊敬),1105000200,25.027607,121.56521
返程,末班已過,4,臺北醫學大學,1105000300,25.028241,121.5634888
返程,末班已過,5,景新里,1104900400,25.029526,121.5623852
返程,末班已過,6,世貿中心(莊敬),1104900100,25.031399,121.561326
返程,末班已過,7,吳興街口,1105200040,25.031594,121.5586001
返程,末班已過,8,三興國小(臨江街觀光夜市),1067700140,25.028215,121.556522
返程,末班已過,9,喬治商職,1067500340,25.02633,121.5546403
返程,末班已過,10,捷運六張犁站(基隆路),1067500240,25.023428,121.551345
返程,末班已過,11,和平高中,1105200140,25.02024,121.54763
返程,末班已過,12,基隆長興街口,1067200460,25.018512,121.5456371
返程,末班已過,13,臺大癌醫(基隆路),1067200760,25.015713,121.5422472
返程,末班已過,14,臺灣科技大學,1060700060,25.014151,121.540464
返程,末班已過,15,公館,1067300060,25.012108,121.5380694
返程,末班已過,16,捷運公館站,1009000160,25.015228,121.534086
返程,末班已過,17,台電大樓,1067300200,25.018486,121.530566
返程,末班已過,18,捷運台電大樓站,1064700300,25.02092,121.52803
返程,末班已過,19,羅斯福浦城街口,1064600300,25.022311,121.5265002
返程,末班已過,20,羅斯福金門街口,1008400300,25.024106,121.5246768
返程,末班已過,21,捷運古亭站(羅斯福),1008400200,25.02678,121.52269
返程,末班已過,22,捷運古亭站(杭州),1064200100,25.02886,121.5219375
返程,末班已過,23,南福板溪(南昌公園),1007800060,25.02681,121.52053
返程,末班已過,24,牯嶺街,1007800300,25.02814,121.51789
返程,末班已過,25,自來水西分處(牯嶺),1007600100,25.029865,121.5166342
返程,末班已過,26,牯嶺街小劇場,1007500200,25.03176,121.51518
返程,末班已過,27,建國中學(歷史博物館),1006600560,25.031565,121.512879
返程,末班已過,28,植物園,1007000260,25.03088,121.508711
返程,末班已過,29,和平中華路口,1006600360,25.033191,121.50578
返程,末班已過,30,昆明街口,1085100060,25.035341,121.5020082
返程,末班已過,31,捷運龍山寺站,1085200360,25.03538,121.49971
返程,末班已過,32,中國時報,1085500160,25.035454,121.4969752
返程,末班已過,33,華江派出所,1088300140,25.034006,121.493016
返程,末班已過,34,大理高中,1085800140,25.03162,121.490827
返程,末班已過,35,人壽一村,1085800060,25.032073,121.4895177
返程,末班已過,36,華江站,1085800360,25.032333,121.4889822
